property_type,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,dwarka expressway,Ansals Highland Park,1.2,6186.0,3,3,3+,4.0,Under Construction,1940.0,0,1,0,0,0,0,0
flat,sector 86,Ansal Heights 86,1.3,4666.0,4,6,2,11.0,New Property,2521.0,0,1,0,0,1,0,86
flat,sohna road,Signature Global Park4.0 ★,0.72,5990.0,2,2,3,3.0,Relatively New,1095.0,0,0,0,1,0,0,158
house,sector 112,experion windchants,9.5,23457.0,5,5,3,2.0,Relatively New,7450.0,0,1,0,0,0,0,45
flat,sector 70a,BPTP Astaire Gardens3.7 ★,1.6,8658.0,4,4,3,1.0,Relatively New,1600.0,1,0,0,0,1,0,42
flat,sector 92,GLS Avenue 51,0.39,6075.0,3,3,3+,6.0,Relatively New,713.0,0,0,0,0,0,0,104
house,sector 12,independent,1.7,8000.0,5,5,3,3.0,Moderately Old,2000.0,0,0,0,1,1,0,9
flat,sector 84,Antriksh Heights3.7 ★,0.9,6207.0,3,3,3+,12.0,Relatively New,1525.0,0,0,0,0,0,0,166
flat,sector 70a,Paras Irene3.7 ★,1.3,9220.0,2,2,3,19.0,Moderately Old,1426.0,0,0,0,0,0,1,49
house,sector 109,international city by sobha phase 1,6.1,25103.0,5,6,3+,2.0,Moderately Old,2430.0,0,1,0,0,0,0,30
flat,sohna road,Signature Global Park4.0 ★,0.7,6071.0,3,3,3,2.0,Relatively New,1281.0,0,0,0,1,0,0,152
house,sector 48,eldeco mansionz,5.0,21368.0,7,7,3,2.0,Moderately Old,2340.0,0,0,0,0,0,1,40
flat,sector 47,Unitech Uniworld Gardens3.8 ★,2.4,11505.0,3,3,3+,10.0,Moderately Old,1888.0,0,1,0,0,0,1,120
flat,manesar,HSIIDC Sidco Aravali,0.9,3478.0,3,3,3+,8.0,Moderately Old,1900.0,0,1,0,0,0,0,23
flat,sector 85,Godrej Air,1.8,13139.0,3,3,3,30.0,Under Construction,141.0,0,0,0,0,0,0,45
flat,sector 72,Tata Primanti4.1 ★,4.0,13769.0,4,5,2,7.0,Moderately Old,2629.0,0,1,0,0,0,0,38
house,sector 3,independent,0.9,10000.0,3,4,3,3.0,Moderately Old,3500.0,0,0,0,0,1,1,42
flat,sector 92,Ansal Heights3.2 ★,0.72,4500.0,3,3,3,9.0,Relatively New,1700.0,0,1,0,0,0,0,49
flat,sector 79,"Godrej 101, Sector 79",1.25,9038.0,2,2,3,1.0,Relatively New,1383.0,0,0,0,0,0,0,0
flat,sector 83,Emaar Palm Gardens4.1 ★,1.3,11872.0,3,3,3,16.0,Relatively New,1387.0,0,1,0,0,0,1,174
flat,sector 67,M3M Merlin3.7 ★,2.8,13679.0,3,3,3,5.0,Moderately Old,2047.0,0,1,0,0,0,2,26
flat,sector 107,Signature Global Solera3.7 ★,0.49,8221.0,2,2,1,8.0,Relatively New,598.0,0,0,0,0,1,2,49
flat,sohna road,HCBS Sports Ville3.6 ★,0.24,7407.0,1,1,2,1.0,New Property,360.0,0,0,0,0,0,0,68
flat,sector 69,Tulip Violet4.3 ★,1.7,8458.0,4,4,2,1.0,Relatively New,1819.0,0,0,0,0,0,0,126
